state,type,commodity,date,production
Malaysia,energy,coal,1/1/16,2414765
Malaysia,energy,coal,1/1/17,2988212
Malaysia,energy,coal,1/1/18,2652813
Malaysia,energy,coal,1/1/19,3459122
Malaysia,energy,coal,1/1/20,2978248
Malaysia,energy,coal,1/1/21,2978248
Malaysia,metallic,bauxite,1/1/16,342924
Malaysia,metallic,bauxite,1/1/17,189131
Malaysia,metallic,bauxite,1/1/18,589684
Malaysia,metallic,bauxite,1/1/19,900561
Malaysia,metallic,bauxite,1/1/20,594714
Malaysia,metallic,bauxite,1/1/21,47577
Malaysia,metallic,gold,1/1/16,2248990
Malaysia,metallic,gold,1/1/17,2124203
Malaysia,metallic,gold,1/1/18,2978482
Malaysia,metallic,gold,1/1/19,3150935
Malaysia,metallic,gold,1/1/20,1715976
Malaysia,metallic,gold,1/1/21,1781191
Malaysia,metallic,ilmenite,1/1/16,4316
Malaysia,metallic,ilmenite,1/1/17,6363
Malaysia,metallic,ilmenite,1/1/18,14158
Malaysia,metallic,ilmenite,1/1/19,2334
Malaysia,metallic,ilmenite,1/1/20,2548
Malaysia,metallic,ilmenite,1/1/21,4598
Malaysia,metallic,iron_ore,1/1/16,1914492
Malaysia,metallic,iron_ore,1/1/17,3919632
Malaysia,metallic,iron_ore,1/1/18,3353634
Malaysia,metallic,iron_ore,1/1/19,4160462
Malaysia,metallic,iron_ore,1/1/20,5371411
Malaysia,metallic,iron_ore,1/1/21,4874485
Malaysia,metallic,manganese,1/1/16,700717
Malaysia,metallic,manganese,1/1/17,1226106
Malaysia,metallic,manganese,1/1/18,1262725
Malaysia,metallic,manganese,1/1/19,1130749
Malaysia,metallic,manganese,1/1/20,869864
Malaysia,metallic,manganese,1/1/21,668558
Malaysia,metallic,monazite,1/1/16,1875
Malaysia,metallic,monazite,1/1/17,302
Malaysia,metallic,monazite,1/1/18,86
Malaysia,metallic,monazite,1/1/19,54
Malaysia,metallic,monazite,1/1/20,18
Malaysia,metallic,monazite,1/1/21,23
Malaysia,metallic,rutile,1/1/16,3810
Malaysia,metallic,rutile,1/1/17,5266
Malaysia,metallic,rutile,1/1/18,5070
Malaysia,metallic,rutile,1/1/19,5947
Malaysia,metallic,rutile,1/1/20,5136
Malaysia,metallic,rutile,1/1/21,11513
Malaysia,metallic,silver,1/1/16,1075325
Malaysia,metallic,silver,1/1/17,1404399
Malaysia,metallic,silver,1/1/18,1541689
Malaysia,metallic,silver,1/1/19,686293
Malaysia,metallic,silver,1/1/20,422506
Malaysia,metallic,silver,1/1/21,672417
Malaysia,metallic,struverite,1/1/16,77
Malaysia,metallic,struverite,1/1/17,61
Malaysia,metallic,struverite,1/1/18,274
Malaysia,metallic,struverite,1/1/19,12
Malaysia,metallic,struverite,1/1/20,9
Malaysia,metallic,struverite,1/1/21,0
Malaysia,metallic,tin_ore,1/1/16,4158
Malaysia,metallic,tin_ore,1/1/17,3895
Malaysia,metallic,tin_ore,1/1/18,3868
Malaysia,metallic,tin_ore,1/1/19,652
Malaysia,metallic,tin_ore,1/1/20,423
Malaysia,metallic,tin_ore,1/1/21,3192
Malaysia,metallic,xenotime,1/1/16,4
Malaysia,metallic,xenotime,1/1/17,0
Malaysia,metallic,xenotime,1/1/18,1568
Malaysia,metallic,xenotime,1/1/19,60
Malaysia,metallic,xenotime,1/1/20,3
Malaysia,metallic,xenotime,1/1/21,23
Malaysia,metallic,zircon,1/1/16,653
Malaysia,metallic,zircon,1/1/17,1595
Malaysia,metallic,zircon,1/1/18,509
Malaysia,metallic,zircon,1/1/19,449
Malaysia,metallic,zircon,1/1/20,157
Malaysia,metallic,zircon,1/1/21,1518
Malaysia,non_metallic,aggregates,1/1/16,133072882
Malaysia,non_metallic,aggregates,1/1/17,146143665
Malaysia,non_metallic,aggregates,1/1/18,132124505
Malaysia,non_metallic,aggregates,1/1/19,128622003
Malaysia,non_metallic,aggregates,1/1/20,108084837
Malaysia,non_metallic,aggregates,1/1/21,109519816
Malaysia,non_metallic,clay,1/1/16,5794833
Malaysia,non_metallic,clay,1/1/17,4776554
Malaysia,non_metallic,clay,1/1/18,8326475
Malaysia,non_metallic,clay,1/1/19,9150675
Malaysia,non_metallic,clay,1/1/20,6198358
Malaysia,non_metallic,clay,1/1/21,6632913
Malaysia,non_metallic,earth_materials,1/1/16,25490877
Malaysia,non_metallic,earth_materials,1/1/17,33987816
Malaysia,non_metallic,earth_materials,1/1/18,29357421
Malaysia,non_metallic,earth_materials,1/1/19,24368490
Malaysia,non_metallic,earth_materials,1/1/20,19167095
Malaysia,non_metallic,earth_materials,1/1/21,16699648
Malaysia,non_metallic,feldspar,1/1/16,441856
Malaysia,non_metallic,feldspar,1/1/17,411204
Malaysia,non_metallic,feldspar,1/1/18,414441
Malaysia,non_metallic,feldspar,1/1/19,241189
Malaysia,non_metallic,feldspar,1/1/20,144487
Malaysia,non_metallic,feldspar,1/1/21,168570
Malaysia,non_metallic,kaolin,1/1/16,392932
Malaysia,non_metallic,kaolin,1/1/17,444559
Malaysia,non_metallic,kaolin,1/1/18,496219
Malaysia,non_metallic,kaolin,1/1/19,400722
Malaysia,non_metallic,kaolin,1/1/20,336565
Malaysia,non_metallic,kaolin,1/1/21,228605
Malaysia,non_metallic,limestone,1/1/16,25431150
Malaysia,non_metallic,limestone,1/1/17,42577053
Malaysia,non_metallic,limestone,1/1/18,44946159
Malaysia,non_metallic,limestone,1/1/19,44228283
Malaysia,non_metallic,limestone,1/1/20,22377940
Malaysia,non_metallic,limestone,1/1/21,19978936
Malaysia,non_metallic,mica,1/1/16,4701
Malaysia,non_metallic,mica,1/1/17,4787
Malaysia,non_metallic,mica,1/1/18,5165
Malaysia,non_metallic,mica,1/1/19,4358
Malaysia,non_metallic,mica,1/1/20,4083
Malaysia,non_metallic,mica,1/1/21,3406
Malaysia,non_metallic,sand_and_gravel,1/1/16,44944336
