Year,state,blockboard,logs,moulding,plywood,sawn_timber,veneer
2000,Malaysia,137752,23073912,715203,4434182,5615960,1116612
2001,Malaysia,148276,18922547,1681214,4317193,4696067,649009
2002,Malaysia,125930,20649671,450816,4372303,4721322,660400
2003,Malaysia,116847,21531856,441421,4770859,4769851,643455
2004,Malaysia,149228,22039714,537424,4882937,4854307,602690
2005,Malaysia,131277,22398330,624844,5114685,5257195,636108
2006,Malaysia,125444,21893695,400450,5432158,5129284,611558
2007,Malaysia,114657,22052775,455138,5438684,5064015,732446
2008,Malaysia,98287,20082668,352778,4837306,4465834,1004262
2009,Malaysia,72142,18309807,301786,4155312,3888305,845672
2010,Malaysia,69849,17797313,342719,4279783,4301467,796909
2011,Malaysia,66839,15994871,367327,3947384,3994762,886580
2012,Malaysia,61222,15891901,352212,3869769,4176599,808903
2013,Malaysia,,14396675,163068,3391133,3619620,776353
2014,Malaysia,,14659673,161156,3689202,3453508,818274
2015,Malaysia,,14220714,136404,3420511,3501140,689780
2016,Malaysia,,13947745,121672,2789834,3401969,552439
2017,Malaysia,,10674264,133583,2631820,3262298,574713
2018,Malaysia,,10272705,126682,2501940,3439792,568261
2019,Malaysia,,9062482,231412,2149845,3371450,472619
2020,Malaysia,,5320403,187848,1668319,2274047,310366
2021,Malaysia,,5570255,190456,1562329,1936625,258537
